image_id,lesion_type,dice,iou,precision,recall,specificity,image_level_tp,image_level_fp,image_level_fn,image_level_tn,expert_pixels,detector_pixels
IDRiD_45,EX,0,0,0,0,1,0,0,1,0,47341,0
IDRiD_46,EX,0.143620023444623,0.0773656391786332,0.897937024972856,0.0780520032089094,0.999984578829374,1,0,0,0,21191,1842
IDRiD_47,EX,0,0,0,0,1,0,0,1,0,38582,0
IDRiD_48,EX,0.0438981451577154,0.0224416458933601,0.996836353178027,0.0224432443632879,0.99999908772669,1,0,0,0,154434,3477
IDRiD_49,EX,0,0,0,0,1,0,0,1,0,221897,0
IDRiD_50,EX,0,0,0,0,1,0,0,1,0,120675,0
IDRiD_51,EX,0,0,0,0,1,0,0,1,0,19228,0
IDRiD_52,EX,0,0,0,0,1,0,0,1,0,2974,0
IDRiD_53,EX,0,0,0,0,1,0,0,1,0,10985,0
IDRiD_54,EX,0,0,0,0,1,0,0,1,0,9450,0
